human_gene_id,human_gene_disease_id,entrez_id,gene_symbol,gene_group_id,gene_group,inheritance_pattern,inheritance_type,main_class_type,additional_class_type,additional_class_type_d,main_class_type_g,additional_class_type_g,confidence_criteria_limit_no_patient,sysid_yes_no,disease_subtype,disease_type,alternative_names,additional_references,omim_disease,gene_review,haploinsufficiency_yes_no,clinical_synopsis,human_gene_disease_remark
690,946,10157,AASS,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,HYPERLYSINEMIA,HYPERLYSINEMIA,NULL,,238700,NULL,0,"hyperlysinemia, lysinuria, and variable saccharopinuria",NULL
691,947,54715,RBFOX1,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,0,ID/Epilepsy,ID/Epilepsy,,"23350840,26174448",NULL,NULL,0,"epilepsy or MR",
692,948,18,ABAT,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"GABA-TRANSAMINASE DEFICIENCY18","GABA-TRANSAMINASE DEFICIENCY",,29302074,613163,NULL,0,"2 patients?: severe psychomotor retardation, hypotonia, hyperreflexia, lethargy, refractory seizures, high-pitched cry, and EEG abnormalities, died early; plus 1 family with two affected: ID plus microcephaly",
693,949,6833,ABCC8,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,1,"Diabetes mellitus, permanent neonatal 3, with or without neurologic features","DIABETES MELLITUS, PERMANENT NEONATAL",,"7716548,16885549,18025464",618857,20301620,0,"early onset mild to severe hyperglycemia, neurologic features, developmental delay, epilepsy in some",
693,3459,6833,ABCC8,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"Diabetes mellitus, permanent neonatal 3, with or without neurologic features","DIABETES MELLITUS, PERMANENT NEONATAL",,"18025464,16885549,7716548",618857,20301620,0,"early onset mild to severe hyperglycemia, neurologic features, developmental delay, epilepsy in some",
694,950,8659,ALDH4A1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"HYPERPROLINEMIA, TYPE II; HPII",HYPERPROLINEMIA,NULL,,239510,NULL,0,"increased incidence of seizures",NULL
695,951,226,ALDOA,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"GLYCOGEN STORAGE DISEASE XII; GSD12","GLYCOGEN STORAGE DISEASE",NULL,,611881,NULL,0,"hemolytic anemia",NULL
696,952,79053,ALG8,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ih; CDG1H","CONGENITAL DISORDER OF GLYCOSYLATION",NULL,,608104,NULL,0,,NULL
697,953,383,ARG1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,ARGININEMIA,ARGININEMIA,,,207800,20301338,0,"episodic hyperammonemia, birth and early childhood normal, untreated: degeneration, severe ID",
698,954,410,ARSA,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"METACHROMATIC LEUKODYSTROPHY","METACHROMATIC LEUKODYSTROPHY",,,250100,20301309,0,"late infantile, juvenile and adult. deterioration of mental function, progressive neurologic symptoms",
