human_gene_id,entrez_id,sysid_id,chromosome_location,gene_type_id,gene_symbol,gene_description,gene_synonyms,omim_id,ensembl_id,hprd_id,hgnc_id,hpsd,human_gene_remark
1,10060,SysID_0467,12p12.1,1,ABCC9,"ATP binding cassette subfamily C member 9","ABC37, ATFB12, CANTU, CMD1O, SUR2",601439,ENSG00000069431,03258,60,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
2,215,SysID_0001,Xq28,1,ABCD1,"ATP binding cassette subfamily D member 1","ABC42, ALD, ALDP, AMN",300371,ENSG00000101986,02300,61,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
3,5826,SysID_0468,14q24.3,1,ABCD4,"ATP binding cassette subfamily D member 4","ABC41, EST352188, MAHCJ, P70R, P79R, PMP69, PXMP1L",603214,ENSG00000119688,04446,68,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
4,51099,SysID_0002,3p21.33,1,ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase","CGI58, IECN2, NCIE2",604780,ENSG00000011198,11986,21396,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
5,28976,SysID_0422,3q21.3,1,ACAD9,"acyl-CoA dehydrogenase family member 9","MC1DN20, NPD002",611103,ENSG00000177646,12412,21497,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
6,50,SysID_0469,22q13.2,1,ACO2,"aconitase 2","ACONM, HEL-S-284, ICRD, OCA8, OPA9",100850,ENSG00000100412,00012,118,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
7,51,SysID_0003,17q25.1,1,ACOX1,"acyl-CoA oxidase 1","ACOX, MITCH, PALMCOX, SCOX",609751,ENSG00000161533,02030,119,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
8,197322,SysID_0435,16q24.3,1,ACSF3,"acyl-CoA synthetase family member 3",-,614245,ENSG00000176715,14117,27288,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
9,2182,SysID_0004,Xq23,1,ACSL4,"acyl-CoA synthetase long chain family member 4","ACS4, FACL4, LACS4, MRX63, MRX68",300157,ENSG00000068366,02152,3571,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
10,60,SysID_0463,7p22.1,1,ACTB,"actin beta","BRWS1, PS1TP5BP1",102630,ENSG00000075624,00032,132,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
11,71,SysID_0464,17q25.3,1,ACTG1,"actin gamma 1","ACT, ACTG, DFNA20, DFNA26, HEL-176",102560,ENSG00000184009,00017,144,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
12,90,SysID_0005,2q24.1,1,ACVR1,"activin A receptor type 1","ACTRI, ACVR1A, ACVRLK2, ALK2, FOP, SKR1, TSRI",102576,ENSG00000115170,00021,171,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
13,103,SysID_0470,1q21.3,1,ADAR,"adenosine deaminase RNA specific","ADAR1, AGS6, DRADA, DSH, DSRAD, G1P1, IFI-4, IFI4, K88DSRBP, P136",146920,ENSG00000160710,07528,225,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
14,56997,SysID_0006,1q42.13,1,COQ8A,"coenzyme Q8A","ADCK3, ARCA2, CABC1, COQ10D4, COQ8, SCAR9",606980,ENSG00000163050,07375,16812,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
15,158,SysID_0007,22q13.1,1,ADSL,"adenylosuccinate lyase","AMPS, ASASE, ASL",608222,ENSG00000239900,00049,291,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
16,2334,SysID_0008,Xq28,1,AFF2,"AF4/FMR2 family member 2","FMR2, FMR2P, FRAXE, MRX2, OX19, XLID109",300806,ENSG00000155966,02397,3776,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
