"Entrez id",SysID,"Chromosome location","Gene type","Gene symbol","Gene group","Gene description","Super go",Hpsd,"Flybase id","Gene name","Orthology determination","Wing phenotype overview","Neuronal phenotype overview","Inheritance pattern","Inheritance type","Main class ","Accompanying phenotype","Limited confidence criterion","Sysid yes no","Disease subtype","Disease type","Omim disease","Haploinsufficiency yes no","Clinical synopsis"
10060,SysID_0467,12p12.1,protein-coding,ABCC9,"ID data freeze 650","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","ion transport, synapse, transporters",0,,,,,,"Mendelian autosomal",dominant,4,"F, S, U, V",0,1,"CANTU SYNDROME","CANTU SYNDROME",239850,0,"activating, gain-of-function mutations: congenital hypertrichosis, neonatal macrosomia, distinct osteochondrodysplasia, cardiomegaly; activating mutations"
10060,SysID_0467,12p12.1,protein-coding,ABCC9,"ID data freeze 650","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","ion transport, synapse, transporters",0,,,,,,"Mendelian autosomal",dominant,,,0,0,"CARDIOMYOPATHY, DILATED, 1O; CMD1O","CARDIOMYOPATHY, DILATED",608569,0,-
10060,SysID_0467,12p12.1,protein-coding,ABCC9,"ID data freeze 650","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","ion transport, synapse, transporters",0,,,,,,"Mendelian autosomal",dominant,,,0,0,"ATRIAL FIBRILLATION, FAMILIAL, 12; ATFB12","ATRIAL FIBRILLATION, FAMILIAL",614050,0,-
10060,SysID_0467,12p12.1,protein-coding,ABCC9,"ID data freeze 650","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","ion transport, synapse, transporters",0,,,,,,"Mendelian autosomal",recessive,5,"L2, Q",1,1,"Developmental Disorder","Developmental Disorder",,0,"homozygous splice site, loss-of-function mutation in 6 patients from 2 families: ID, facial dysmorphism, myopathy, cerebral white matter hyperintensities, cardiac systolic dysfunction"
215,SysID_0001,Xq28,protein-coding,ABCD1,"ID data freeze 388","ATP-binding cassette, sub-family D (ALD), member 1","mitochondria, peroxisome, transporters",1,FBgn0039890,,"ensembl, manually curated","phenotype, phenotype","no phenotype, no phenotype, no phenotype","Mendelian X-linked","not sure","8a, 8b","G, H, K, L2, M, P",0,1,"ADRENOLEUKODYSTROPHY; ALD",ADRENOLEUKODYSTROPHY,300100,0,"affects nervous system white matter and adrenal cortex, abnormal VLCFA levels; childhood cerebral form between 4-8 y, initially attention deficit disorder or hyperactivity; progressive impairment of cognition, behavior, vision, hearing, and motor function follow,often total disability within two years. three variable forms; 20% of carrier females mild symptoms"
5826,SysID_0468,14q24.3,protein-coding,ABCD4,"ID data freeze 650","ATP-binding cassette, sub-family D (ALD), member 4","peroxisome, transporters",0,,,,,,"Mendelian autosomal",recessive,5,"M, R",1,1,"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, CBLJ TYPE; MAHCJ","METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA",614857,0,"2 patients, poor feeding, respiratory distress, hypotonia, lethargy, breathin anomalies; bone marrow suppression, developmental delay; dysmorphic features, cardiac abnormalities, episode of neutropenia later in childhood"
51099,SysID_0002,3p21,protein-coding,ABHD5,"ID data freeze 388","abhydrolase domain containing 5",metabolism,0,FBgn0033226,,"ensembl, manually curated","lethal, phenotype","phenotype, lethal","Mendelian autosomal",recessive,8a,"M, Q, S",0,1,"CHANARIN-DORFMAN SYNDROME; CDS","CHANARIN-DORFMAN SYNDROME",275630,0,"nonbullous congenital ichthyosiform erythroderma, congenital ichthyosis, hepatosplenomegaly, vacuolated granulocytes (Jordans anomaly), and myopathy, ID only in a few single patients"
28976,SysID_0422,3q21.3,protein-coding,ACAD9,"ID data freeze 650","acyl-CoA dehydrogenase family, member 9",mitochondria,0,,,,,,"Mendelian autosomal",recessive,8b,"C, H, M, Q",1,1,"ACAD9 DEFICIENCY","ACAD9 DEFICIENCY",611126,0,"complex 1 deficiencyl, liver disease, encephalopathy, cardiomyoapathy, neurologic dysfunction, early death"
50,SysID_0469,22q13.2,protein-coding,ACO2,"ID data freeze 650","aconitase 2, mitochondrial",mitochondria,1,FBgn0037862,,ensembl,,,"Mendelian autosomal",recessive,2,"E, G, H, L2",0,1,"INFANTILE CEREBELLAR-RETINAL DEGENERATION; ICRD","INFANTILE CEREBELLAR-RETINAL DEGENERATION",614559,0,"onset between ages 2 and 6 months, truncal hypotonia, athetosis, seizures, ophthalmologic abnormalities, optic atrophy, retinal degeneration; profound psychomotor retardation, MRI: progressive cerebral and cerebellar degeneration"
50,SysID_0469,22q13.2,protein-coding,ACO2,"ID data freeze 650","aconitase 2, mitochondrial",mitochondria,1,FBgn0010100,Aconitase,ensembl,,,"Mendelian autosomal",recessive,2,"E, G, H, L2",0,1,"INFANTILE CEREBELLAR-RETINAL DEGENERATION; ICRD","INFANTILE CEREBELLAR-RETINAL DEGENERATION",614559,0,"onset between ages 2 and 6 months, truncal hypotonia, athetosis, seizures, ophthalmologic abnormalities, optic atrophy, retinal degeneration; profound psychomotor retardation, MRI: progressive cerebral and cerebellar degeneration"
51,SysID_0003,17q25.1,protein-coding,ACOX1,"ID data freeze 388","acyl-CoA oxidase 1, palmitoyl","mitochondria, peroxisome",0,FBgn0027572,,ensembl,,,"Mendelian autosomal",recessive,8b,"C, E, G, H, L2, M",0,1,"PEROXISOMAL ACYL-COA OXIDASE DEFICIENCY","PEROXISOMAL ACYL-COA OXIDASE DEFICIENCY",264470,0,"hypotonia, seizures, loss of skills, visual and hearing impairment, ID, mean age of death 5 y, dysmorphies, hepatomegaly, white matter anomalies"
