"Entrez id",SysID,"Chromosome location","Gene type","Gene symbol","Gene group","Gene description","Super go",Hpsd,"Flybase id","Gene name","Orthology determination","Wing phenotype overview","Neuronal phenotype overview","Inheritance pattern","Inheritance type","Main class ","Accompanying phenotype","Limited confidence criterion","Sysid yes no","Disease subtype","Disease type","Omim disease","Haploinsufficiency yes no","Clinical synopsis"
186,SysID_0011,Xq22-q23,protein-coding,AGTR2,"ID candidate genes","angiotensin II receptor, type 2","metabolism, nervous system development, protein transport, response to growth factor, RNA metabolism, transcription, transporters, vesicle transport",0,,,,,,"Mendelian X-linked","not sure",,,1,1,"MENTAL RETARDATION, X-LINKED 88; MRX88","MENTAL RETARDATION, X-LINKED",300852,0,"1 female with ID and balanced translocating silencing the gene; 1 family: moderate to severe ID, epilepsy, 2 of 9 patients autistic;  variant also in healthy males therefore likely benign"
9459,SysID_0031,Xq26.3,protein-coding,ARHGEF6,"ID candidate genes","Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6","MAPK signaling, metabolism, response to growth factor, small GTPase signaling",0,FBgn0015803,"Rho-type guanine nucleotide exchange factor","ensembl, manually curated","phenotype, phenotype, phenotype","no phenotype, lethal, phenotype, no phenotype","Mendelian X-linked",recessive,,,1,1,"MENTAL RETARDATION, X-LINKED 46; MRX46","MENTAL RETARDATION, X-LINKED",300436,0,"1 family: nonspecific ID, mild to severe, variant re-classified as VUS"
124093,SysID_0476,16p13.3,protein-coding,CCDC78,"ID candidate genes","coiled-coil domain containing 78","centrosome, microtubule",0,,,,,,"Mendelian autosomal",dominant,5,Q,1,1,"MYOPATHY, CENTRONUCLEAR, 4; CNM4","MYOPATHY, CENTRONUCLEAR",614807,0,"1 family, neonatal hypotonia, myalgias, overall motor impairment, mild cognitive impairment"
9759,SysID_0401,2q37.3,protein-coding,HDAC4,"ID candidate genes","histone deacetylase 4","actin, cardiac muscle contraction, chromatin, metabolism, nervous system development, RNA metabolism, synapse, transcription",0,FBgn0041210,HDAC4,ensembl,,,"Mendelian autosomal",dominant,,,0,1,"BRACHYDACTYLY-MENTAL RETARDATION SYNDROME; BDMR","BRACHYDACTYLY-MENTAL RETARDATION SYNDROME",600430,0,"many deletions, but also point mutations, ID, developmental delay, behavioral abnormalities, autism spectrum disorders, sleep disturbance, craniofacial and skeletal abnormalities; variants reclassified to VUS"
84061,SysID_0188,Xq21.1,protein-coding,MAGT1,"ID candidate genes","magnesium transporter 1","glycosylation, ion transport, transporters",0,FBgn0032015,"Oligosaccharide transferase gamma subunit","ensembl, manually curated","-, phenotype","no phenotype, no phenotype","Mendelian X-linked","not sure",6,M,1,1,"congenital disorder of glycosylation","CONGENITAL DISORDER OF GLYCOSYLATION",608605,0,"non-syndromic ID in 1 family, two of the affected died because of cancer; variants also in healthy individuals in EVS, therefore considered to be not pathogenic (Piton et al., AJHG, 2013) 2019: plus 2 patients with intellectual disability and a glycosilation defect, 1/2 behavioural anomalies"
84061,SysID_0188,Xq21.1,protein-coding,MAGT1,"ID candidate genes","magnesium transporter 1","glycosylation, ion transport, transporters",0,FBgn0032015,"Oligosaccharide transferase gamma subunit","ensembl, manually curated","-, phenotype","no phenotype, no phenotype","Mendelian X-linked","not sure",,,0,0,"IMMUNODEFICIENCY, X-LINKED, WITH MAGNESIUM DEFECT, EPSTEIN-BARR VIRUS INFECTION, AND NEOPLASIA; XMEN","IMMUNODEFICIENCY, X-LINKED, WITH MAGNESIUM DEFECT, EPSTEIN-BARR VIRUS INFECTION, AND NEOPLASIA",300853,0,"lymphopenia, severe chronic viral infections, and defective T-lymphocyte activation"
55967,SysID_0448,12q22,protein-coding,NDUFA12,"ID candidate genes","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12",mitochondria,1,FBgn0031436,,ensembl,,,"Mendelian autosomal",recessive,8b,"G, L2, M",1,1,"LEIGH SYNDROME; LS","LEIGH SYNDROME",256000,0,"1 patient: complex I deficiency, delay of early development, loss of motor abilities; MRI: basal ganglia lesions typical of Leigh syndrome"
8799,SysID_0503,1q21.1,protein-coding,PEX11B,"ID candidate genes","peroxisomal biogenesis factor 11 beta","mitochondria, peroxisome",1,FBgn0034058,"Peroxin 11",ensembl,,,"Mendelian autosomal",recessive,5,"H, M, O, T",1,1,"PEROXISOME BIOGENESIS DISORDER 14B; PEX14B","PEROXISOME BIOGENESIS DISORDER",614920,0,"1 patient, congenital cataracts, mild ID, progressive hearing loss, sensory nerve involvement, gastrointestinal problems, recurrent migraine-like episodes"
6390,SysID_0514,1p36.1-p35,protein-coding,SDHB,"ID candidate genes","succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",mitochondria,0,FBgn0014028,"Succinate dehydrogenase B",ensembl,,,"Mendelian autosomal",recessive,8b,"G, H, L2, M, Q",1,1,"LEUKODYSTROPHY AND ISOLATED MITOCHONDRIAL COMPLEX II DEFICIENCY","LEUKODYSTROPHY AND ISOLATED MITOCHONDRIAL COMPLEX II DEFICIENCY",,0,"2 patients:  hypotonia, delay, leukodystrophy, 1/2 cardiomyopathy, enzymatic anomalies"
6390,SysID_0514,1p36.1-p35,protein-coding,SDHB,"ID candidate genes","succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",mitochondria,0,FBgn0014028,"Succinate dehydrogenase B",ensembl,,,"Mendelian autosomal",dominant,,,0,0,"PARAGANGLIOMAS 4; PGL4",PARAGANGLIOMAS,115310,0,-
