RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
RG	s100097	chr1	1452104	1459045	6942	43	20.5
RG	s100097	chr1	4655406	9010119	4354714	2278	70.3
RG	s100097	chr1	20744735	21255855	511121	332	20.8
RG	s100097	chr1	24057329	24089569	32241	124	6.5
RG	s100097	chr1	80451825	83869729	3417905	182	14.5
RG	s100097	chr1	93846934	94120882	273949	407	20.5
RG	s100097	chr1	102877914	103525922	648009	312	12.5
RG	s100097	chr1	112490944	113391156	900213	493	11.9
RG	s100097	chr1	147166554	147907814	741261	400	29.2
RG	s100097	chr1	151399571	151825817	426247	622	11.4
RG	s100097	chr1	154219667	154405422	185756	361	9.1
RG	s100097	chr1	158465488	158765751	300264	543	50.5
RG	s100097	chr1	161020925	161117658	96734	241	12.4
RG	s100097	chr1	169691565	169953900	262336	369	43.1
RG	s100097	chr1	177929664	178092924	163261	182	54.8
RG	s100097	chr1	179043984	179813017	769034	606	51.0
RG	s100097	chr1	196774710	196888224	113515	118	16.4
RG	s100097	chr1	205053063	205147507	94445	227	26.2
RG	s100097	chr1	236041761	236409088	367328	190	40.3
RG	s103222	chr1	10947786	11066460	118675	222	12.9
RG	s103222	chr1	16975177	17205087	229911	307	39.7
RG	s103222	chr1	19119649	19238681	119033	414	28.0
RG	s103222	chr1	19239700	19665481	425782	472	40.8
RG	s103222	chr1	20485289	20682417	197129	212	22.6
RG	s103222	chr1	20704377	21424575	720199	462	26.6
RG	s103222	chr1	23778582	23929035	150454	217	34.0
RG	s103222	chr1	24057329	24089569	32241	124	6.5
RG	s103222	chr1	25272840	25686386	413547	319	9.4
RG	s103222	chr1	26022754	26294270	271517	489	41.7
RG	s103222	chr1	40374600	40822368	447769	371	18.9
RG	s103222	chr1	55039848	56496453	1456606	384	29.5
RG	s103222	chr1	63629496	64579707	950212	188	21.3
RG	s103222	chr1	81836776	84388208	2551433	439	20.7
RG	s103222	chr1	102877914	103025452	147539	258	21.9
RG	s103222	chr1	113390948	113881031	490084	371	15.6
RG	s103222	chr1	115651355	115976622	325268	138	33.4
RG	s103222	chr1	152565882	152971823	405942	235	22.5
RG	s103222	chr1	156245425	156344486	99062	268	36.3
RG	s103222	chr1	160158902	160208566	49665	175	12.8
RG	s103222	chr1	171512307	171579288	66982	147	13.4
RG	s103222	chr1	180155033	180211327	56295	101	13.9
RG	s103222	chr1	186296861	186854324	557464	434	36.6
RG	s103222	chr1	204406354	204466479	60126	182	21.8
RG	s103222	chr1	219915439	220134334	218896	312	12.2
RG	s103222	chr1	225140728	225367810	227083	279	27.1
RG	s103222	chr1	227016092	227563502	547411	181	40.0
RG	s103222	chr1	227646475	228007074	360600	261	27.9
RG	s103247	chr1	3504980	3560506	55527	88	50.6
RG	s103247	chr1	6244394	6541713	297320	420	13.6
RG	s103247	chr1	10599091	11087492	488402	479	28.8
RG	s103247	chr1	13389787	13391901	2115	18	5.3
RG	s103247	chr1	46867929	47358451	490523	550	29.9
RG	s103247	chr1	54757636	54980961	223326	210	22.5
RG	s103247	chr1	70852591	74026788	3174198	176	28.1
RG	s103247	chr1	78492679	80451736	1959058	232	32.9
RG	s103247	chr1	156467532	156581176	113645	298	22.4
RG	s103247	chr1	204406354	204466479	60126	182	22.7
RG	s103247	chr1	204525536	204961949	436414	186	19.5
RG	s103247	chr1	207677338	208027194	349857	268	24.7
RG	s103247	chr1	209675640	210231588	555949	279	13.3
RG	s103247	chr1	226984037	227921231	937195	417	58.1
RG	s103247	chr1	228214297	228271805	57509	153	21.7
RG	s103247	chr1	236142554	236394269	251716	148	36.5
RG	s103247	chr1	236468166	236585722	117557	302	44.6
RG	s103248	chr1	10947786	11066460	118675	222	12.1
RG	s103248	chr1	16975177	17205087	229911	307	39.2
RG	s103248	chr1	24057329	24090724	33396	135	9.4
RG	s103248	chr1	38709860	38991220	281361	129	22.4
RG	s103248	chr1	42153468	42767533	614066	435	26.2
RG	s103248	chr1	45561683	46027784	466102	389	46.5
RG	s103248	chr1	85580917	86045722	464806	299	20.7
RG	s103248	chr1	111290690	111475970	185281	324	29.3
RG	s103248	chr1	152218205	152302575	84371	143	15.5
RG	s103248	chr1	152312338	152511443	199106	273	12.2
RG	s103248	chr1	153297899	153626138	328240	318	8.3
RG	s103248	chr1	156272250	156367826	95577	174	31.5
RG	s103248	chr1	158075909	158419113	343205	350	12.8
RG	s103248	chr1	165544180	165890340	346161	162	24.9
RG	s103248	chr1	179229489	179550973	321485	253	34.1
RG	s103248	chr1	202214180	202596820	382641	246	18.2
RG	s103248	chr1	207708019	208027194	319176	198	6.5
RG	s103248	chr1	236537430	236686583	149154	370	74.4
RG	s103248	chr1	247434035	247711956	277922	188	27.3
RG	s103248	chr1	248294550	248441083	146534	177	41.4
RG	s103282	chr1	1701565	1730405	28841	145	20.8
RG	s103282	chr1	1892085	1959141	67057	168	26.0
RG	s103282	chr1	9930235	10430293	500059	582	39.9
RG	s103282	chr1	10953896	11273485	319590	624	26.8
RG	s103282	chr1	31619181	31667518	48338	168	37.8
RG	s103282	chr1	45584241	46027784	443544	363	18.8
RG	s103282	chr1	47023948	47144260	120313	220	35.6
RG	s103282	chr1	85321261	85580917	259657	39	10.8
RG	s103282	chr1	88981640	89368511	386872	451	45.6
RG	s103282	chr1	99708928	100147821	438894	482	18.8
RG	s103282	chr1	113724725	114091863	367139	387	7.2
RG	s103282	chr1	117368060	117778017	409958	112	9.0
RG	s103282	chr1	147252267	147611696	359430	155	2.6
RG	s103282	chr1	150220863	150504192	283330	392	50.4
RG	s103282	chr1	171512307	171704277	191971	215	19.5
RG	s103282	chr1	183023890	183186170	162281	193	37.3
RG	s103282	chr1	185734836	186296816	561981	563	27.8
RG	s103282	chr1	196819891	196977645	157755	159	26.8
RG	s103282	chr1	196994081	197268399	274319	392	26.5
RG	s103282	chr1	203720529	204036912	316384	243	20.0
RG	s103282	chr1	212686795	212894850	208056	190	37.5
RG	s103282	chr1	222647869	222942749	294881	188	4.3
RG	s103282	chr1	225250573	225652837	402265	407	12.7
RG	s103282	chr1	226707796	226961287	253492	109	12.0
RG	s103282	chr1	248179932	248441083	261152	298	15.9
RG	s108121	chr1	6519400	6554046	34647	64	10.9
RG	s108121	chr1	6554264	6785373	231110	297	14.2
RG	s108121	chr1	11501008	11648220	147213	127	52.6
RG	s108121	chr1	19074759	19149719	74961	311	17.7
RG	s108121	chr1	19235074	19339353	104280	356	14.3
RG	s108121	chr1	24319472	24514278	194807	212	19.5
RG	s108121	chr1	32668207	33772311	1104105	986	31.5
RG	s108121	chr1	42399238	42836844	437607	435	40.0
RG	s108121	chr1	75615939	76074675	458737	301	56.7
RG	s108121	chr1	114874451	115651200	776750	188	9.3
RG	s108121	chr1	120816287	143449533	22633247	74	12.0
RG	s108121	chr1	150302870	150796735	493866	603	45.3
RG	s108121	chr1	153534569	153728712	194144	352	20.3
RG	s108121	chr1	157515639	157993620	477982	479	50.1
RG	s108121	chr1	159929023	160155999	226977	352	16.4
RG	s108121	chr1	161118070	161283801	165732	459	14.0
RG	s108121	chr1	169110588	169555299	444712	407	34.7
RG	s108121	chr1	184477670	184803752	326083	189	13.2
RG	s108121	chr1	217431150	218285209	854060	119	7.0
RG	s113066	chr1	2508982	3021701	512720	341	38.8
